"Combination","SSD_BLUP","SSD_GBLUP"
"elim_1",18.6714931666484,13.967097809589
"elim_2",18.9709361481127,14.1471013952046
"elim_3",21.4632454130624,16.479275846935
"elim_4",18.3570124329613,14.1039563199244
"elim_5",19.1245402180587,14.1133916780097
"elim_6",20.0582923958987,15.0121674142315
"elim_7",19.2928094474429,15.3034079287709
"elim_8",19.2928094474429,15.0191038229507
"elim_9",19.3088141890782,14.0487688228829
"elim_10",19.1816116017448,14.7476951116395
"elim_1_2",18.2114513052771,13.4621071131154
"elim_1_3",21.1886020318615,16.100688655695
"elim_1_4",17.5212488233597,13.379706731161
"elim_1_5",18.421047042673,13.4376780836794
"elim_1_6",19.4345154049699,14.366206351788
"elim_1_7",18.6714931666484,14.7034144988294
"elim_1_8",18.6714931666484,14.4521195843473
"elim_1_9",18.6409970196942,13.3260073699723
"elim_1_10",18.3394640035546,14.0036696715536
"elim_2_3",21.2240872431124,15.9423980793732
"elim_2_4",17.7162592125468,13.583489493773
"elim_2_5",18.8226286345002,13.6511451986578
"elim_2_6",19.8925477257936,14.7041851902716
"elim_2_7",18.9709361481127,14.7929976028802
"elim_2_8",18.9709361481127,14.6332252281289
"elim_2_9",19.0082825638528,13.6409878074748
"elim_2_10",18.8660733337785,14.370723367824
"elim_3_4",20.9165009344696,16.387023479947
"elim_3_5",21.2976129384972,16.0471127436009
"elim_3_6",22.4489040963151,16.7819181322744
"elim_3_7",21.4632454130624,17.6937424734955
"elim_3_8",21.4632454130624,17.1366685992668
"elim_3_9",21.7902604010782,16.0682025294997
"elim_3_10",21.5858650552038,16.6209865177847
"elim_4_5",18.1079298216909,13.5737729042043
"elim_4_6",18.9733308303527,14.486846755897
"elim_4_7",18.3570124329613,14.9247879717964
"elim_4_8",18.3570124329613,14.593152294573
"elim_4_9",18.2490531421457,13.4650438700371
"elim_4_10",18.1406239697259,14.0880526220081
"elim_5_6",19.8878507193041,14.5203452648597
"elim_5_7",19.1245402180587,14.8760275392221
